Mot;Définition 1;Définition 2;Lemme;Mot source;Thème source;Flag 1;Flag 2
VUE;Aperçue;Considérée;voir;VU;;ok;ok
VOYANT;Apercevant;Considérant;voir;VU;;ok;ok
VOIES;Aperçoives;Considères;voir;VU;;ok;ok
VERRA;Apercevra;Considérera;voir;VU;;ok;ok
VOIENT;Aperçoivent;Considèrent;voir;VU;;ok;ok
VERRONS;Apercevrons;Considérerons;voir;VU;;ok;ok
VUES;Aperçues;Considérées;voir;VU;;ok;ok
VOIS;Aperçois;Considères;voir;VU;;ok;ok
VOYONS;Apercevons;Considérons;voir;VU;;ok;ok
VOYEZ;Apercevez;Considérez;voir;VU;;ok;ok
VOYAIENT;Apercevaient;Considéraient;voir;VU;;ok;ok
VERREZ;Apercevrez;Considérerez;voir;VU;;ok;ok
VIRENT;Aperçurent;Considérèrent;voir;VU;;ok;ok
VERRAIT;Apercevrait;Considérerait;voir;VU;;ok;ok
VOYAIS;Apercevais;Considérais;voir;VU;;ok;ok
VUS;Aperçus;Considérés;voir;VU;;ok;ok
VERRONT;Apercevront;Considéreront;voir;VU;;ok;ok
VÎMES;Aperçûmes;Considérâmes;voir;VU;;ok;ok
VERRAI;Apercevrai;Considérerai;voir;VU;;ok;ok
VERRAS;Apercevras;Considéreras;voir;VU;;ok;ok
VERRAIENT;Apercevraient;Considéreraient;voir;VU;;ok;ok
VERRIONS;Apercevrions;Considérerions;voir;VU;;ok;ok
VOYIONS;Apercevions;Considérions;voir;VU;;ok;ok
VERRAIS;Apercevrais;Considérerais;voir;VU;;ok;ok
VÎT;Aperçût;Considérât;voir;VU;;ok;ok
VERRIEZ;Apercevriez;Considéreriez;voir;VU;;ok;ok
VISSE;Aperçusse;Considérasse;voir;VU;;ok;ok
VOYIEZ;Aperceviez;Considériez;voir;VU;;ok;ok
VISSENT;Aperçussent;Considérassent;voir;VU;;ok;ok
VÎTES;Aperçûtes;Considérâtes;voir;VU;;ok;ok
VISSIEZ;Aperçussiez;Considérassiez;voir;VU;;ok;ok
VISSIONS;Aperçussions;Considérassions;voir;VU;;ok;ok
VISSES;Aperçusses;Considérasses;voir;VU;;ok;ok
